Name,position,team,age,overall_rating,Avg/Year
earl thomas,DB,Ravens,31,88,
gerald mccoy,DL,Cowboys,32,85,
derrius guice,HB,Washington,23,81,
johnathan joseph,DB,Titans,36,81,
aldrick rosas,K,Giants,25,79,
mohamed sanu,WR,Patriots,31,79,
dontari poe,DL,Cowboys,30,78,
ha ha clinton-dix,DB,Cowboys,27,78,
prince amukamara,DB,Raiders,31,78,
trevor williams,DB,Eagles,26,78,
dante pettis,WR,49ers,24,77,
quincy enunwa,WR,Jets,28,77,
eli apple,DB,Panthers,25,75,
seth roberts,WR,Panthers,29,75,
stephen hauschka,K,Bills,35,75,
cody latimer,WR,Washington,27,74,
kamalei correa,LB,Titans,26,74,
margus hunt,DL,Saints,33,74,
todd davis,LB,Broncos,28,74,
pj hall,DL,Raiders,25,73,
robert foster,WR,Bills,26,73,
tim williams,LB,Packers,26,73,
willie henry,DL,49ers,26,73,
anthony zettel,DL,Vikings,28,72,
breeland speaks,DL,Chiefs,24,72,
deandre baker,DB,Giants,23,72,
jatavis brown,LB,Eagles,26,72,
jaylen watkins,DB,Texans,28,72,
josh bellamy,WR,Jets,31,72,
ken crawley,DB,Raiders,27,72,
marquel lee,LB,Raiders,24,72,
ryan switzer,WR,Steelers,25,72,
sean davis,DB,Washington,26,72,
trey quinn,WR,Washington,24,72,
austin seibert,K,Browns,23,71,
cassius marsh,DL,Jaguars,28,71,
christian covington,DL,Broncos,26,71,
corey coleman,WR,Giants,26,71,
grant haley,DB,Giants,24,71,
hakeem butler,WR,Cardinals,24,71,
kalen ballage,HB,Dolphins,24,71,
kendell beckwith,LB,Buccaneers,25,71,
tytus howard,T,Texans,24,71,
chad williams,WR,Colts,25,70,
devin smith,WR,Cowboys,28,70,
jake kumerow,WR,Packers,28,70,
jeff heuerman,TE,Broncos,27,70,
jordan willis,LB,Jets,25,70,
josh adams,HB,Jets,23,70,
kai forbath,K,Cowboys,32,70,
mario edwards,DL,Saints,26,70,
matt gay,K,Buccaneers,26,70,
parry nickerson,DB,Jaguars,25,70,
roosevelt nix,FB,Colts,28,70,
vincent taylor,DL,Bills,26,70,
bo scarbrough,HB,Lions,23,69,
brett maher,K,Jets,30,69,
bronson rechsteiner,FB,Ravens,22,69,
dj reed,DB,49ers,23,69,
damion ratley,WR,Browns,25,69,
deone bucannon,LB,Falcons,28,69,
ibraheim campbell,DB,Titans,28,69,
isaac yiadom,DB,Broncos,24,69,
jamon brown,G,Falcons,27,69,
jermaine carter,LB,Panthers,25,69,
jordan thomas,TE,Texans,24,69,
justin march,LB,Cowboys,27,69,
justin rohrwasser,K,Patriots,23,69,
laquon treadwell,WR,Falcons,25,69,
luke willson,TE,Seahawks,30,69,
maurice harris,WR,Saints,27,69,
nate hairston,DB,Jets,26,69,
reggie gilbert,LB,Titans,27,69,
ricardo louis,WR,Dolphins,26,69,
ryan glasgow,DL,Bengals,26,69,
ryan allen,P,Falcons,30,69,
shelton gibson,WR,Eagles,26,69,
trenton cannon,HB,Jets,26,69,
trevon coley,DL,Cardinals,26,69,
angelo blackson,DL,Texans,27,68,
anthony chickillo,DL,Saints,27,68,
austin carr,WR,Saints,26,68,
cordrea tankersley,DB,Dolphins,26,68,
d'andre walker,LB,Titans,23,68,
deon cain,WR,Steelers,24,68,
geno stone,DB,Ravens,21,68,
jaleel scott,WR,Ravens,25,68,
jason croom,TE,Bills,26,68,
keelan doss,WR,Raiders,24,68,
lano hill,DB,Seahawks,24,68,
mj stewart,DB,Buccaneers,24,68,
marcell ateman,WR,Raiders,25,68,
nick williams,DL,Lions,30,68,
patrick dimarco,FB,Bills,31,68,
rashaan gaulden,DB,Giants,25,68,
ray-ray mccloud,WR,Bills,23,68,
roderic teamer,DB,Chargers,23,68,
rodney anderson,HB,Bengals,23,68,
rodney gunter,DL,Jaguars,28,68,
ryan lewis,DB,Dolphins,26,68,
sam sloman,K,Rams,22,68,
sutton smith,LB,Seahawks,24,68,
trevor davis,WR,Bears,27,68,
treyvon hester,DL,Packers,27,68,
ty johnson,HB,Lions,22,68,
ugo amadi,DB,Seahawks,23,68,
willie gay,LB,Chiefs,22,68,
adrian colbert,DB,Dolphins,26,67,
amara darboh,WR,Steelers,26,67,
anthony mcfarland,HB,Steelers,21,67,
austin calitro,LB,Bengals,26,67,
avery moss,DL,Dolphins,25,67,
cj board,WR,Jaguars,26,67,
chad hansen,WR,Texans,25,67,
chad thomas,DL,Browns,24,67,
christian wade,HB,Bills,29,67,
danny vitale,FB,Patriots,26,67,
dare ogunbowale,HB,Buccaneers,26,67,
daylon mack,DL,Ravens,23,67,
derrick kindred,DB,49ers,26,67,
duke williams,WR,Bills,28,67,
eddie yarbrough,DL,Vikings,27,67,
eric saubert,TE,Bears,26,67,
gary jennings,WR,Dolphins,23,67,
geremy davis,WR,Lions,28,67,
greg mabin,DB,Bengals,26,67,
greg joseph,K,Titans,26,67,
iman lewis-marshall,DB,Ravens,23,67,
james burgess,LB,Jets,26,67,
john kelly,HB,Rams,23,67,
jon'vea johnson,WR,Cowboys,24,67,
jonotthan harrison,C,Jets,29,67,
josh rosen,QB,Dolphins,23,67,
reece fountain,WR,Colts,24,67,
rod smith,HB,Raiders,28,67,
stanley morgan,WR,Bengals,23,67,
steven parker,DB,Dolphins,24,67,
tj green,DB,Panthers,25,67,
torry mctyer,DB,Bengals,25,67,
troy pride,DB,Panthers,22,67,
antoine brooks,DB,Steelers,22,66,
bj finney,C,Seahawks,28,66,
brett jones,C,Vikings,29,66,
bronson kaufusi,DL,Jets,29,66,
bryan cox,DL,Bills,26,66,
cameron batson,WR,Titans,24,66,
chase mclaughlin,K,Colts,24,66,
chris smith,DL,Panthers,28,66,
daeshon hall,DL,Eagles,25,66,
damion willis,WR,Bengals,23,66,
dan mccullers,DL,Steelers,28,66,
elijah lee,LB,Lions,24,66,
eric kush,G,Raiders,30,66,
fred brown,WR,Broncos,26,66,
j'mon moore,WR,Browns,25,66,
james crawford,LB,Dolphins,25,66,
jason huntley,HB,Lions,22,66,
jeremiah ledbetter,DL,Buccaneers,26,66,
johnnie dixon,WR,Cardinals,25,66,
jonathan bullard,DL,Cardinals,26,66,
jordan kunaszyk,LB,Panthers,23,66,
josh hawkins,DB,Falcons,27,66,
justin zimmer,DL,Browns,27,66,
juwann winfree,WR,Broncos,23,66,
kaare vedvik,K,Bills,26,66,
kevin toliver,DB,Bears,24,66,
khalfani muhammad,HB,Broncos,25,66,
lenzy pipkins,DB,Patriots,26,66,
miles brown,DL,Cardinals,22,66,
ryan winslow,P,Cardinals,26,66,
ryan connelly,LB,Giants,24,66,
sebastian joseph-day,DL,Rams,25,66,
shareef miller,DL,Eagles,23,66,
terry godwin,WR,Jaguars,23,66,
travis fulgham,WR,Lions,24,66,
tremon smith,DB,Eagles,24,66,
troy fumagalli,TE,Broncos,25,66,
andrew brown,DL,Bengals,24,65,
anthony johnson,WR,Steelers,24,65,
chris lacy,WR,Lions,24,65,
dane jackson,DB,Bills,23,65,
darius jennings,WR,Chargers,28,65,
david sills v,WR,Giants,24,65,
demarcus christmas,DL,Seahawks,25,65,
devante bond,LB,Bears,27,65,
dexter williams,HB,Packers,23,65,
greg dortch,WR,Rams,22,65,
isaiah irving,LB,Bears,26,65,
isaiah mack,DL,Titans,24,65,
jamal perry,DB,Dolphins,25,65,
jermaine grace,LB,Browns,26,65,
joe giles-harris,LB,Jaguars,23,65,
john ursua,WR,Seahawks,26,65,
jullian taylor,DL,49ers,25,65,
justin hollins,LB,Broncos,24,65,
karan higdon,HB,Texans,23,65,
matthew slater,WR,Patriots,34,65,
michael dogbe,DL,Cardinals,24,65,
nate meadors,DB,Vikings,23,65,
richard rodgers,TE,Washington,28,65,
shaun wilson,HB,Titans,24,65,
taylor stallworth,DL,Saints,25,65,
tyler newsome,P,Chiefs,25,65,
adonis alexander,DB,Rams,23,64,
andre patton,WR,Chargers,26,64,
andrew soroh,DB,Chiefs,24,64,
austin larkin,DL,Falcons,25,64,
aviante collins,T,Vikings,27,64,
brian allen,DB,Seahawks,26,64,
cj reavis,DB,Falcons,24,64,
cameron malveaux,DL,Washington,25,64,
chris peace,LB,Giants,24,64,
cody hollister,WR,Titans,26,64,
corey thompson,LB,Bills,26,64,
curtis weaver,LB,Dolphins,22,64,
darius jackson,HB,Colts,26,64,
dillon mitchell,WR,Vikings,23,64,
dont'e deayon,DB,Rams,26,64,
doug middleton,DB,Jaguars,26,64,
duke thomas,DB,Cardinals,26,64,
dylan cantrell,TE,Cardinals,26,64,
elijah mcguire,HB,Chiefs,26,64,
elliott fry,K,Buccaneers,25,64,
gehrig dieter,WR,Chiefs,27,64,
gerri green,DL,Colts,24,64,
jamal davis,LB,Packers,25,64,
joel heath,DL,Broncos,27,64,
jonathan woodard,DL,Bills,26,64,
jordan scarlett,HB,Panthers,24,64,
ken webster,DB,Dolphins,24,64,
kenny wiggins,G,Lions,32,64,
kentrell brice,DB,Bears,26,64,
kerrith whyte,HB,Steelers,23,64,
lil'jordan humphrey,WR,Saints,22,64,
matthew peart,T,Giants,23,64,
michael walker,WR,Jaguars,23,64,
michael danna,DL,Chiefs,22,64,
mike love,DL,Bills,26,64,
natrell jamerson,DB,Panthers,24,64,
ricky ortiz,FB,Saints,26,64,
saeed blacknall,WR,Steelers,24,64,
sean chandler,DB,Giants,24,64,
spencer long,G,Bills,29,64,
tae hayes,DB,Dolphins,23,64,
taquan mizzell,HB,Saints,26,64,
tommylee lewis,WR,Saints,27,64,
tony brooks-james,HB,Vikings,25,64,
xavier crawford,DB,Bears,24,64,
albert huggins,DL,Eagles,23,63,
alex wesley,WR,Bears,24,63,
alex barrett,DL,49ers,26,63,
anthony rush,DL,Eagles,24,63,
ben braunecker,TE,Bears,26,63,
brady sheldon,LB,Bengals,27,63,
broderick washington,DL,Ravens,23,63,
casey toohill,DL,Eagles,24,63,
chris westry,DB,Cowboys,23,63,
christian sam,LB,Lions,24,63,
dj foster,HB,Cardinals,26,63,
davion davis,WR,Vikings,23,63,
de'vante bausby,DB,Broncos,27,63,
deandrew white,WR,Panthers,28,63,
devin gray,WR,Falcons,25,63,
elijah holyfield,HB,Eagles,22,63,
jason moore,WR,Chargers,25,63,
jauan jennings,WR,49ers,23,63,
javaris davis,DB,Chiefs,23,63,
jermaine kelly,DB,49ers,25,63,
joe ostman,DL,Eagles,25,63,
joe jackson,DL,Cowboys,23,63,
jordan brown,DB,Raiders,24,63,
jordan chunn,HB,Cowboys,25,63,
jordan brailford,DL,Washington,24,63,
joshua garnett,G,Lions,26,63,
khari lee,TE,Falcons,28,63,
marcus green,WR,Eagles,24,63,
michael roberts,TE,Dolphins,26,63,
nate brooks,DB,Dolphins,23,63,
pharaoh brown,TE,Browns,26,63,
prince tega wanogho,T,Eagles,22,63,
reggie bonnafon,HB,Panthers,24,63,
robert davis,WR,Eagles,25,63,
robert windsor,DL,Colts,23,63,
shalom luani,DB,Texans,26,63,
simeon thomas,DB,Washington,26,63,
tim harris,DB,49ers,25,63,
trayvon henderson,DB,Bengals,25,63,
tuzar skipper,LB,Steelers,25,63,
victor bolden,WR,Lions,25,63,
vosean joseph,LB,Bills,22,63,
andre smith,LB,Panthers,23,62,
austin edwards,DL,Falcons,23,62,
bopete keyes,DB,Chiefs,22,62,
brian cole,DB,Vikings,23,62,
cole hikutini,TE,Cowboys,26,62,
damarkus lodge,WR,Bengals,23,62,
daniel ekuale,DL,Browns,26,62,
deante burton,DB,Cowboys,26,62,
deatrick nichols,DB,Saints,26,62,
deiondre' hall,DB,Buccaneers,26,62,
donnie lewis,DB,Browns,24,62,
dustin woodard,C,Patriots,22,62,
edmond robinson,LB,Falcons,28,62,
eli ankou,DL,Browns,26,62,
evan boehm,C,Bills,27,62,
frank herron,DL,Lions,26,62,
garrett griffin,TE,Saints,26,62,
gerald willis,DL,Packers,25,62,
hale hentges,TE,Washington,24,62,
jesper horsted,TE,Bears,23,62,
joe jones,LB,Broncos,26,62,
joey ivie,DL,Titans,25,62,
jon hilliman,HB,Giants,24,62,
jordan leggett,TE,Buccaneers,25,62,
joshua dobbs,QB,Jaguars,25,62,
kendall donnerson,LB,Raiders,24,62,
kevin strong,DL,Lions,24,62,
malik carney,LB,Broncos,24,62,
parnell motley,DB,Buccaneers,22,62,
pj johnson,DL,Chargers,24,62,
quadree henderson,WR,Steelers,23,62,
quenton meeks,DB,Chargers,23,62,
raymond calais,HB,Buccaneers,22,62,
reggie davis,WR,Bears,24,62,
ross pierschbacher,C,Washington,25,62,
saquan hampton,DB,Saints,23,62,
shakial taylor,DB,Broncos,23,62,
tashawn bower,LB,Patriots,25,62,
tevin jones,WR,Cowboys,27,62,
trent harris,LB,Dolphins,24,62,
xavier grimble,TE,Colts,27,62,
abdullah anderson,DL,Bears,24,61,
alexander hollins,WR,Vikings,23,61,
anthony ratliff-williams,WR,Raiders,23,61,
arrion springs,DB,Steelers,23,61,
artavis scott,WR,Colts,25,61,
brian price,DL,Jaguars,26,61,
cale garrett,LB,Titans,22,61,
chris slayton,DL,Giants,24,61,
curtis bolton,LB,Packers,24,61,
devaroe lawrence,DL,Chiefs,27,61,
evan weaver,LB,Cardinals,22,61,
hercules mata'afa,DL,Vikings,24,61,
jake gervase,DB,Rams,24,61,
jalen jelks,DL,Cowboys,24,61,
jamal carter,DB,Falcons,26,61,
joe gaziano,DL,Chargers,23,61,
joey hunt,C,Seahawks,26,61,
jordan devey,C,Raiders,32,61,
josiah coatney,DL,Steelers,24,61,
marquise copeland,DL,Rams,23,61,
montre hartage,DB,Giants,23,61,
nigel warrior,DB,Ravens,23,61,
quinton bell,DL,Buccaneers,24,61,
rashard davis,WR,Titans,24,61,
stephen denmark,DB,Bears,24,61,
steven mitchell,WR,Texans,26,61,
tipa galeai,LB,Packers,23,61,
tyler marz,T,Panthers,27,61,
ahmad thomas,LB,Falcons,25,60,
bruce hector,DL,Eagles,25,60,
bruce anderson,HB,Colts,23,60,
caleb wilson,TE,Washington,24,60,
calvin throckmorton,G,Saints,24,60,
chad wheeler,T,Seahawks,26,60,
charles jones,TE,Jaguars,24,60,
chauncey rivers,LB,Ravens,23,60,
chris cooper,DB,Falcons,26,60,
chris williamson,DB,Giants,23,60,
cole mcdonald,QB,Titans,22,60,
craig reynolds,HB,Falcons,24,60,
dalyn dawkins,HB,Titans,25,60,
danny isidora,G,Dolphins,26,60,
davin bellamy,LB,Texans,25,60,
davonte lambert,DL,Panthers,26,60,
donovan olumba,DB,Browns,24,60,
elijah wellman,FB,Packers,25,60,
emmanuel ellerbee,LB,Seahawks,23,60,
greg mancz,C,Texans,28,60,
ishmael hyman,WR,Panthers,25,60,
jalen davis,DB,Cardinals,24,60,
jeremy vujnovich,G,Washington,29,60,
jessie lemonier,DL,Chargers,23,60,
jon runyan,G,Packers,23,60,
jordan franks,TE,Bengals,24,60,
josh watson,LB,Broncos,25,60,
kahzin daniels,LB,Buccaneers,24,60,
kyle hinton,G,Vikings,22,60,
marc-antoine dequoy,DB,Packers,25,60,
matt lengel,TE,Colts,29,60,
mazzi wilkins,DB,Buccaneers,24,60,
nasir player,LB,Buccaneers,23,60,
noah dawkins,LB,Buccaneers,23,60,
patrick omameh,G,Saints,30,60,
patrick morris,C,Broncos,25,60,
rodney clemons,DB,Chiefs,23,60,
stanford samuels,DB,Packers,21,60,
stephen sullivan,WR,Seahawks,23,60,
adam redmond,G,Cowboys,27,59,
ahmad gooden,LB,Jets,24,59,
anthony fabiano,G,Buccaneers,27,59,
bj bello,LB,Jets,25,59,
brandon dillon,TE,Vikings,23,59,
breon borders,DB,Steelers,25,59,
calvin taylor,DL,Steelers,23,59,
chris lammons,DB,Chiefs,24,59,
cody wichmann,G,Cowboys,28,59,
cole luke,DB,Panthers,25,59,
cole christiansen,LB,Chargers,23,59,
david fales,QB,Jets,29,59,
freedom akinmoladun,DL,Bengals,24,59,
jace whittaker,DB,Cardinals,25,59,
jake hanson,C,Packers,23,59,
james looney,TE,Packers,25,59,
kofi amichia,G,49ers,26,59,
lafayette pitts,DB,Colts,27,59,
moritz boehringer,TE,Bengals,26,59,
nigel harris,LB,Titans,25,59,
pj walker,QB,Panthers,25,59,
shaq calhoun,G,Dolphins,24,59,
will holden,T,Ravens,26,59,
will clapp,C,Saints,23,59,
willie harvey,LB,Browns,24,59,
wyatt ray,LB,Jets,23,59,
alijah holder,DB,Broncos,24,58,
beau benzschawel,C,Lions,24,58,
blake brandel,G,Vikings,23,58,
clay johnston,LB,Rams,24,58,
corey levin,C,Bears,26,58,
david sharpe,T,Raiders,24,58,
devlin hodges,QB,Steelers,24,58,
donte vaughn,DB,Chargers,22,58,
elijah nkansah,T,Texans,24,58,
evan baylis,TE,Packers,26,58,
jamil demby,G,Rams,24,58,
jordan williams,LB,Titans,27,58,
jordan ta'amu,QB,Chiefs,22,58,
josiah tauaefa,LB,Giants,23,58,
krishawn hogan,WR,Saints,25,58,
montrel meander,LB,Browns,25,58,
parker houston,TE,Cardinals,22,58,
rj prince,T,Ravens,25,58,
saivion smith,DB,Cowboys,22,58,
sam jones,G,Cardinals,24,58,
tyler huntley,QB,Ravens,22,58,
alex ellis,TE,Eagles,27,57,
avery gennesy,G,Titans,26,57,
cameron tom,C,Saints,25,57,
carson meier,TE,Falcons,25,57,
chad kelly,QB,Colts,26,57,
chris orr,LB,Panthers,23,57,
chris jones,DB,Cardinals,25,57,
christian rozeboom,LB,Rams,23,57,
daniel helm,TE,49ers,25,57,
darryl williams,C,Chiefs,23,57,
garrett dickerson,TE,Giants,24,57,
greg senat,T,Chiefs,25,57,
jarron jones,T,Steelers,26,57,
jeremiah kolone,G,Rams,25,57,
kendall blanton,TE,Rams,24,57,
kenneth durden,DB,Titans,28,57,
koda martin,G,Chargers,25,57,
quin blanding,DB,Panthers,24,57,
sean harlow,G,Falcons,25,57,
sua opeta,G,Eagles,24,57,
vontarrius dora,LB,Cardinals,27,57,
brad lundblade,G,Jets,24,56,
cohl cabral,C,Rams,22,56,
daniel bituli,LB,Rams,22,56,
javon patterson,C,Colts,23,56,
jordan roos,G,Seahawks,27,56,
juwann bushell-beatty,T,Panthers,24,56,
kyle lauletta,QB,Eagles,25,56,
kyle murphy,T,Texans,26,56,
mark mclaurin,LB,Giants,23,56,
paxton lynch,QB,Steelers,26,56,
temarrick hemingway,TE,Panthers,27,56,
zack bailey,G,Buccaneers,24,56,
andrew vollert,TE,Chargers,25,55,
andrew donnal,T,Colts,28,55,
anthony gordon,QB,Seahawks,23,55,
christian dilauro,G,Steelers,25,55,
emmanuel smith,LB,Chiefs,25,55,
ethan wolf,TE,Rams,24,55,
jake eldrenkamp,G,Colts,26,55,
james murray,C,Jets,25,55,
john molchon,G,Buccaneers,23,55,
keaton sutherland,C,Dolphins,23,55,
kurt benkert,QB,Falcons,25,55,
rick leonard,T,Texans,23,55,
ryan hunter,G,Chiefs,25,55,
ryan pope,T,Jaguars,23,55,
steven gonzalez,G,Cardinals,23,55,
tyler gauthier,C,Jaguars,23,55,
branden bowen,T,Panthers,23,54,
brian lewerke,QB,Patriots,23,54,
clayton thorson,QB,Cowboys,24,54,
daishawn dixon,G,Ravens,23,54,
dan skipper,T,Lions,25,54,
ezekiel turner,LB,Cardinals,24,54,
frederick mauigoa,C,Panthers,22,54,
jackson barton,T,Chiefs,25,54,
jake dolegala,QB,Bengals,23,54,
john leglue,T,Packers,24,54,
kc mcdermott,G,Jaguars,24,54,
leonard wester,T,49ers,27,54,
nate trewyn,C,Rams,24,54,
o'shea dugas,T,Bengals,23,54,
tommy stevens,QB,Saints,23,54,
trent scott,T,Chargers,26,54,
victor salako,G,Bills,26,54,
alex mcgough,QB,Texans,24,53,
brett toth,T,Cardinals,24,53,
chad slade,T,Giants,28,53,
davis webb,QB,Bills,25,53,
eric smith,T,Giants,24,53,
garrett mcghin,T,Bills,24,53,
isaac whitney,WR,Texans,26,53,
jake browning,QB,Vikings,24,53,
jaryd jones-smith,T,49ers,24,53,
nate stanley,QB,Vikings,23,53,
paul adams,T,Washington,25,53,
zac kerin,G,Titans,29,53,
alex light,T,Packers,24,52,
ben braden,G,Jets,26,52,
bryce perkins,QB,Rams,23,52,
cooper rush,QB,Giants,26,52,
josh love,QB,Rams,23,52,
timon parris,T,Washington,24,52,
alex taylor,T,Browns,23,51,
cole madison,C,Packers,25,51,
david steinmetz,T,Texans,25,51,
dino boyd,T,Bears,24,51,
kahlil mckenzie,G,Seahawks,23,51,
jt barrett iv,QB,Steelers,25,50,
nico falah,C,Broncos,25,50,
ryan roberts,T,Chargers,23,50,
jake rudock,QB,Dolphins,27,49,
alex tanney,QB,Giants,32,48,
danny etling,QB,Falcons,26,48,
garrett gilbert,QB,Browns,29,48,
tyler bray,QB,Bears,28,47,
jj jansen,TE,Panthers,34,38,
nick moore,TE,Ravens,27,36,
beau brinkley,TE,Titans,30,35,
kyle nelson,TE,49ers,33,32,
matt orzech,TE,Jaguars,25,25,
